Nombre ,Fuente,Usuario,Subtema,Tono,Recursos,ENGAGEMENT,URL
2103-1,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Link,"20,913",https://www.facebook.com/NCRNoticiasCostaRica/posts/3176549809044123
2103-2,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Link,"20,056",https://www.facebook.com/NCRNoticiasCostaRica/posts/3176636899035414
2103-3,Institución,Universidad de Costa Rica,Salud,Esperazador,Texto/Foto,"17,701",https://www.facebook.com/UniversidadCostaRica/posts/2897922630246252
2103-4,Medio,Crhoy.com,Salud,Denucnia,Link,"15,821",https://www.facebook.com/crhoy.comnoticias/posts/3833228540052818
2103-5,Medio,NCR - Noticias Costa Rica,Salud,Esperanzador,Texto/Foto,"14,799",https://www.facebook.com/NCRNoticiasCostaRica/posts/3177024995663271
2103-6,Medio,Crhoy.com,Medidas y Restricciones,Denuncia,Link,"13,542",https://www.facebook.com/crhoy.comnoticias/posts/3834882279887444
2103-7,Medio,Crhoy.com,Salud,Informativo,Link,"13,113",https://www.facebook.com/crhoy.comnoticias/posts/3834417309933941
2103-8,Medio,Noticias Repretel Costa Rica,Salud,Informativo,Link,"11,601",https://www.facebook.com/noticiasrepretelcostarica/posts/3320918607947867
2103-9,Diputades,Franggi Nicolás Diputada,Vida Cotidiana,Esperanzador,Texto/Foto,"10,790",https://www.facebook.com/FranggiDiputada/posts/542876879563322
2103-10,Medio,La Nación,Salud,Esperanzador,Texto/Video,"10,292",https://www.facebook.com/lanacioncr/posts/10163391604355051
2203-1,Medio,Stereo Vision Internacional,Religión,N/A,Texto/Video,"127,500",https://www.facebook.com/StereoVision/posts/10158174552733770
2203-2,Medio,Pura Vida 106.3FM,Religión,N/A,Texto/Video,"27,629",https://www.facebook.com/PuraVida1063/posts/3027110523994519
2203-3,Medio,Radio María Costa Rica,Religión,Esperanzador,Texto/Video,"19,031",https://www.facebook.com/radiomariacostarica/posts/605686443361391
2203-4,Medio,Telenoticias,Misceláneo,Esperanzador,Texto/Video,"16,192",https://www.facebook.com/Telenoticias7/posts/3353525557991955
2203-5,Figura Pública,Valentina Alazraki,Salud/Religión,Informativo,Texto/Video,"15,397",https://www.facebook.com/valentina.alazraki.mexico/posts/2648453161944435
2203-6,Figura Pública,Lizeth Castro,Donaciones y Asistencialismo,Emotivo,Texto/Foto,"11,913",https://www.facebook.com/LizethCastrotv/posts/3293851127310775
2203-7,Medio,Repretel,Vida Cotidiana,Informativo,Link,"10,546",https://www.facebook.com/noticiasrepretelcostarica/posts/3323576687682059
2203-8,Medio,Tome pal pinto,Medio Ambiente y Animales,Informativo,Link,"9,235",https://www.facebook.com/Tomepalpinto/posts/2872042876215590
2203-9,Medio,Crhoy.com,Deporte,Informativo,Link,"8,542",https://www.facebook.com/crhoy.comnoticias/posts/3834725316569807
2203-10,Medio,Crhoy.com,Medidas y Restricciones,Informativo,Link,"8,140",https://www.facebook.com/crhoy.comnoticias/posts/3837900459585626
2303-1,Organización Religiosa,Virgen de la Medalla Milagrosa,Religión,Esperanzador,Texto/Foto,"26,680",https://www.facebook.com/virgencitamedallamilagrosa/posts/3115166678501565
2303-2,Gobierno,Carlos Alvarado Quesada,Salud,Informativo,Texto,"24,603",https://www.facebook.com/carlosalvaradoquesada/posts/854117245086951
2303-3,Medio,Crhoy.com,Migración,Informativo,Link,"18,799",https://www.facebook.com/crhoy.comnoticias/posts/3840969902612015
2303-4,Medio,Crhoy.com,Vida Cotidiana,Informativo,Link,"17,731",https://www.facebook.com/crhoy.comnoticias/posts/3840579689317703
2303-5,Medio,Tome pal pinto,Migración,Informativo,Texto/Foto,"15,222",https://www.facebook.com/Tomepalpinto/posts/2873913109361900
2303-6,Medio,Tome pal pinto,Salud,Informativo,Link,"14,810",https://www.facebook.com/Tomepalpinto/posts/2874307705989107
2303-7,Institución,Instituto Nacional de Aprendizaje (INA),Misceláneo,Informativo,Texto/Foto,"14,584",https://www.facebook.com/institutonacionaldeaprendizaje/posts/10158272392139456
2303-8,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Link,"14,435",https://www.facebook.com/NCRNoticiasCostaRica/posts/3181887601843677
2303-9,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Link,"13,592",https://www.facebook.com/NCRNoticiasCostaRica/posts/3181115225254248
2303-10,Medio,NCR - Noticias Costa Rica,Vida Cotidiana,Informativo,Link,"12,747",https://www.facebook.com/NCRNoticiasCostaRica/posts/3181079768591127
2403-1,Institución,Caja Costarricense de Seguro Social,Salud,Esperanzador,Foto,"30,016",https://www.facebook.com/ccssdecostarica/posts/3138659929491042
2403-2,Figura Pública,Valentina Alazraki,Salud/Religión,Informativo,Texto/Video,"20,619",https://www.facebook.com/valentina.alazraki.mexico/posts/2653088874814197
2403-3,Medio,Telenoticias,Salud,Informativo,Link,"17,966",https://www.facebook.com/Telenoticias7/posts/3358869780790866
2403-4,Medio,Repretel,Salud,Informativo,Link,"17,956",https://www.facebook.com/noticiasrepretelcostarica/posts/3327495553956839
2403-5,Medio,Crhoy.com,Misceláneo,Denuncia,Link,"16,107",https://www.facebook.com/crhoy.comnoticias/posts/3845558298819842
2403-6,Medio,NCR - Noticias Costa Rica,Vida Cotidiana,Informativo,Link,"13,623",https://www.facebook.com/NCRNoticiasCostaRica/posts/3184449418254162
2403-7,Municipalidad,Municipalidad de San José,Vida Cotidiana,Agradecimiento,Foto,"12,516",https://www.facebook.com/MunicipalidadSJ/posts/2875126385908619
2403-8,Medio,Crhoy.com,Salud,Informativo,Link,"12,268",https://www.facebook.com/crhoy.comnoticias/posts/3843245305717808
2403-9,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Link,"10,297",https://www.facebook.com/NCRNoticiasCostaRica/posts/3184698328229271
2403-10,Medio,Teletica Deportes,Donaciones y Asistencialismo,Informativo,Link,"7,511",https://www.facebook.com/teleticadeportes/posts/10158193879029241
2503-1,Organización Religiosa,Dejando Huellas,Religión,Reflexivo,Foto,"25,044",https://www.facebook.com/DejandoHuellasCR1/posts/2563858533855158
2503-2,Institución,Caja Costarricense de Seguro Social,Salud,Alerta,Texto/Video,"18,431",https://www.facebook.com/ccssdecostarica/posts/3141604595863242
2503-3,Organización,Preserve Planet,Medio Ambiente y Animales,Denuncia,Texto/Link,"13,085",https://www.facebook.com/PreservePlanet/posts/3157342094284197
2503-4,Figura Pública,Valentina Alazraki,Salud/Religión,Informativo,Texto/Video,"13,047",https://www.facebook.com/valentina.alazraki.mexico/posts/2655422627914155
2503-5,Medio,La Nación,Salud,Informativo,Link,"12,380",https://www.facebook.com/lanacioncr/posts/10163419678060051
2503-6,Medio,Tome pal pinto,Donaciones y Asistencialismo,Informativo,Link,"11,124",https://www.facebook.com/Tomepalpinto/posts/2879289278824283
2503-7,Medio,Crhoy.com,Salud,Informativo,Link,"9,498",https://www.facebook.com/crhoy.comnoticias/posts/3848260871882918
2503-8,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Link,"9,492",https://www.facebook.com/NCRNoticiasCostaRica/posts/3186308564734914
2503-9,Medio,ADN Cuba,Salud,Informativo,Video,"8,058",https://www.facebook.com/ADNCuba/posts/1467889273375354
2503-10,Medio,Telenoticias,Salud,Informativo,Link,"7,234",https://www.facebook.com/Telenoticias7/posts/3360200527324458
2603-1,Homeópata,Betesda Natural,Salud,Esperanzador/Informativo,Video,,https://www.facebook.com/BetesdaNatural/posts/2841777912575445
2603-2,Medio,NCR - Noticias Costa Rica,Medio Ambiente y Animales,Informativo,Link,,https://www.facebook.com/NCRNoticiasCostaRica/posts/3188514867847617
2603-3,Diputades,Franggi Nicolás Diputada,Economía,Denuncia,Texto/Video,,https://www.facebook.com/FranggiDiputada/posts/546049699246040
2603-4,Figura Pública,Lizeth Castro,Vida Cotidiana,Conmovedor,Texto/Link,,https://www.facebook.com/LizethCastrotv/posts/3303210549708166
2603-5,Medio,Repretel,Economía,Informativo,Link,,https://www.facebook.com/noticiasrepretelcostarica/posts/3333156916724036
2603-6,Figura Pública,Valentina Alazraki,Salud/Religión,Informativo,Texto/Video,,https://www.facebook.com/valentina.alazraki.mexico/posts/2657518457704572
2603-7,Medio,Crhoy.com,Economía,Informativo,Link,,https://www.facebook.com/crhoy.comnoticias/posts/3851518508223821
2603-8,Medio,Crhoy.com,Economía,Informativo,Link,,https://www.facebook.com/crhoy.comnoticias/posts/3852144401494565
2603-9,Medio,Tome pal pinto,Donaciones y Asistencialismo,Informativo,Link,,https://www.facebook.com/Tomepalpinto/posts/2881551998598011
2603-10,Medio,ADN Cuba,Salud,Infromativo,Video,,https://www.facebook.com/ADNCuba/posts/847383422396670
2703-1,Medio,amprensa.com,Economía,Informativo,Link,"18,129",https://www.facebook.com/amprensa/posts/3288256271204142
2703-2,Figura Pública,Valentina Alazraki,Religión,Informativo,Texto/Video,"16,268",https://www.facebook.com/valentina.alazraki.mexico/posts/2659945794128505
2703-3,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Texto/Foto,"10,734",https://www.facebook.com/NCRNoticiasCostaRica/posts/3191123734253397
2703-4,Organización,Preserve Planet,Medio Ambiente y Animales,Denuncia,Link,"10,491",https://www.facebook.com/PreservePlanet/posts/3163015787050161
2703-5,Medio,Repretel,Medio Ambiente y Animales,Informativo,Link,"10,061",https://www.facebook.com/noticiasrepretelcostarica/posts/3335845883121806
2703-6,Medio,Telenoticias,Salud,Informativo,Link,"9,527",https://www.facebook.com/Telenoticias7/posts/3365453200132524
2703-7,Medio,Repretel,Salud,Alerta,Link,"8,509",https://www.facebook.com/noticiasrepretelcostarica/posts/3335563049816756
2703-8,Medio,Crhoy.com,Salud,Informativo,Video,"8,500",https://www.facebook.com/crhoy.comnoticias/posts/237224367326277
2703-9,Medio,Crhoy.com,Vida Cotidiana,Informativo,Link,"7,952",https://www.facebook.com/crhoy.comnoticias/posts/3855875921121413
2703-10,Medio,Crhoy.com,Salud,Emotivo,Link,"7,797",https://www.facebook.com/crhoy.comnoticias/posts/3854560787919593
2803-1,Medio,ADN Cuba,Medidas y Restricciones,Informativo,Linl,"41,657",https://www.facebook.com/ADNCuba/posts/1470900559740892
2803-2,Municipalidad,Municipalidad de San José,Salud,Informativo,Texto/Video,"31,136",https://www.facebook.com/MunicipalidadSJ/posts/2884704891617435
2803-3,Página/Comunidad,Síndrome de Down,Salud,Alerta,Texto,"17,573",https://www.facebook.com/sindromedeDown09/posts/3116106548408856
2803-4,Medio,NCR - Noticias Costa Rica,Vida Cotidiana,Emotivo,Link,"14,763",https://www.facebook.com/NCRNoticiasCostaRica/posts/3192854317413672
2803-5,Página/Comunidad,Policías de Costa Rica,Medidas y Restricciones,Informativo,Texto/Foto,"12,177",https://www.facebook.com/Policiasdecostarica/posts/2821576044597304
2803-6,Figura Pública,Edgar Silva,Salud,Humoroso,Foto,"11,425",https://www.facebook.com/EdgarSilvaLoaiciga/posts/2540567869525048
2803-7,Ministerio,Ministerio de Salud,Salud,Informativo,Video,"8,828",https://www.facebook.com/msaludcr/posts/211987516704478
2803-8,Página/Comunidad,"Vengador una vez, vengador por siempre",Vida Cotidiana,Humoroso,Meme,"8,407",https://www.facebook.com/VengadoresPorSiempre/posts/2594691337468689
2803-9,Medio,Crhoy.com,Medidas y Restricciones,Informativo,Link,"7,004",https://www.facebook.com/crhoy.comnoticias/posts/3858718277503844
2803-10,Medio,Teletica,Salud,Informativo,Video,"6,822",https://www.facebook.com/teleticacom/posts/195639495216134
2903-1,Página/Comunidad,Policías de Costa Rica,Medidas y Restricciones,Denuncia,Video,"13,508",https://www.facebook.com/Policiasdecostarica/posts/2824710104283898
2903-2,Gobierno,Carlos Alvarado Quesada,Salud,Alerta,Texto,"12,359",https://www.facebook.com/carlosalvaradoquesada/posts/858714684627207
2903-3,Medio,Crhoy.com,Salud,Informativo,Link,"7,896",https://www.facebook.com/crhoy.comnoticias/posts/3862811687094503
2903-4,Medio,Noticias Repretel Costa Rica,Medidas y Restricciones,Informativo,Video,"6,900",https://www.facebook.com/noticiasrepretelcostarica/posts/2828716807241938
2903-5,Página/Comunidad,Acción Filosófica,Economía,Humoroso,Meme,"6,625",https://www.facebook.com/accionfilosoficacr/posts/2814209875327464
2903-6,Medio,Crhoy.com,Salud,Informativo,Link,"6,527",https://www.facebook.com/crhoy.comnoticias/posts/3862724350436570
2903-7,Medio,Repretel,Medio Ambiente y Animales,Informativo,Link,"5,684",https://www.facebook.com/noticiasrepretelcostarica/posts/3336297106410017
2903-8,Medio,La Voz del Pueblo,Salud,Denuncia,Texto/Video,"5,413",https://www.facebook.com/Lavozdelpueb/posts/568613220421089
2903-9,Medio,Repretel,Vida Cotidiana,Informativo,Texto/Foto,"5,272",https://www.facebook.com/noticiasrepretelcostarica/posts/3342360602470334
2903-10,Medio,NCR - Noticias Costa Rica,Vida Cotidiana,Emotivo,Link,"4,790",https://www.facebook.com/NCRNoticiasCostaRica/posts/3196057987093305
3003-1,Medio,Crhoy.com,Medio Ambiente y Animales,Informativo,Link,"31,449",https://www.facebook.com/crhoy.comnoticias/posts/3866692700039735
3003-2,Organización,Rescate Animal,Medio Ambiente y Animales,Feliz,Texto/Link,"26,172",https://www.facebook.com/RescateAnimalCR/posts/10157490064644912
3003-3,Polítiques,José María Figueres Olsen,Economía,Informativo,Texto/Video,"17,615",https://www.facebook.com/Figuerescr/posts/10156913145006911
3003-4,Medio,Tome pal pinto,Salud,Informativo,Link,"14,177",https://www.facebook.com/Tomepalpinto/posts/2890744977678713
3003-5,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Texto/Foto,"11,975",https://www.facebook.com/NCRNoticiasCostaRica/posts/3198411630191274
3003-6,Medio,Crhoy.com,Medidas y Restricciones,Informativo,Link,"11,402",https://www.facebook.com/crhoy.comnoticias/posts/3866631580045847
3003-7,Institución,Instituto Mixto de Ayuda Social,Economía,Informativo,Texto/Foto,"9,944",https://www.facebook.com/InstitutoMixtodeAyudaSocial/posts/4363165760376235
3003-8,Figura Pública,Pelicomic,Entretenimiento,Humoroso,Meme,"9,184",https://www.facebook.com/PelicomicCR/posts/2681005432186565
3003-9,Medio,Tome pal pinto,Salud,Informativo,Link,"8,181",https://www.facebook.com/Tomepalpinto/posts/2891280507625160
3003-10,Medio,La Nación,Medidas y Restricciones,Informativo,Link,"8,046",https://www.facebook.com/lanacioncr/posts/10163451425145051
3103-1,Gobierno,Carlos Alvarado Quesada,Salud,Infromativo,Texto/Foto,"36,086",https://www.facebook.com/carlosalvaradoquesada/posts/860231197808889
3103-2,Medio,NCR - Noticias Costa Rica,Salud,Esperanzador,Texto/Foto,"34,399",https://www.facebook.com/NCRNoticiasCostaRica/posts/3200690123296758
3103-3,Medio,Telenoticias,Salud,Infromativo,Link,"14,387",https://www.facebook.com/Telenoticias7/posts/3376951158982728
3103-4,Organización,Protección Animal Mundial,Medio Ambiente y Animales,Infromativo,Texo/Link,"12,893",https://www.facebook.com/ProteccionAnimalMundial/posts/10158171780339394
3103-5,Figura Pública,Valentina Alazraki,Salud,Infromativo,Texto/Video,"9,829",https://www.facebook.com/valentina.alazraki.mexico/posts/2668351059954645
3103-6,Medio,Tome pal pinto,Economía,Infromativo,Link,"8,534",https://www.facebook.com/Tomepalpinto/posts/2893411027412108
3103-7,Gobierno,Carlos Alvarado Quesada,Salud,Infromativo,Texto/Video,"8,210",https://www.facebook.com/carlosalvaradoquesada/posts/504165356944840
3103-8,Medio,Crhoy.com,Salud,Infromativo,Video,"8,142",https://www.facebook.com/crhoy.comnoticias/posts/2573736569562581
3103-9,Medio,La República,Donaciones y Asistencialismo,Infromativo,Link,"7,920",https://www.facebook.com/larepublicacr/posts/10156891876362051
3103-10,Medio,NCR - Noticias Costa Rica,Salud,Esperanzador,Link,"6,864",https://www.facebook.com/NCRNoticiasCostaRica/posts/3200959523269818
0104-1,Figura Pública,TaponCostaRica,Misceláneo,Esperanzador,Video,"16,465",https://www.facebook.com/TaponCostaRica/posts/3020134231354129
0104-2,Medio,Telenoticias,Salud,Informativo,Link,"13,000",https://www.facebook.com/Telenoticias7/posts/3380521965292314
0104-3,Medio,Telenoticias,Misceláneo,Informativo,Link,"6,407",https://www.facebook.com/Telenoticias7/posts/3380657628612081
0104-4,Político,Jose María Figueres Olsen,Economía,Informativo,Video,"6,028",https://www.facebook.com/Figuerescr/posts/10156919136636911
0104-5,Ministerio,Ministerio de Salud,Medidas y Restricciones,Informativo,Imagen,"5,542",https://www.facebook.com/msaludcr/posts/10163405560385137
0104-6,Medio,Telenoticias,Turismo,Informativo,Link,"5,453",https://www.facebook.com/Telenoticias7/posts/3380612878616556
0104-7,Municipalidad,Municipalidad de San José,Donaciones y Asistencialismo,Agradecimiento,Texto/Imagen,"5,363",https://www.facebook.com/MunicipalidadSJ/posts/2893592357395355
0104-8,Medio,Crhoy.com,Economía,Informativo,Link,"4,581",https://www.facebook.com/crhoy.comnoticias/posts/3873964179312587
0104-9,Medio,AM Prensa,Salud,Informativo,Link,"4,226",https://www.facebook.com/amprensa/posts/3301352929894476
0104-10,Institución,CCSS,Salud,Emotivo,Video,"3,973",https://www.facebook.com/ccssdecostarica/posts/3157528310937537
0204-1,Homeopata,Betesda Natural,Salud,Informativo,Video,"124,508",https://www.facebook.com/BetesdaNatural/posts/2857203451032891
0204-2,Gobierno,Casa Presidencial,Salud,Informativo,Video,"65,219",https://www.facebook.com/CasaPresidencial/posts/3648603085166158
0204-3,Medio,Crhoy.com,Salud,Informativo,Link,"27,074",https://www.facebook.com/crhoy.comnoticias/posts/3875985855777086
0204-4,Gobierno,Carlos Alvarado ,Medidas y Restricciones,Informativo,Video,"17,908",https://www.facebook.com/carlosalvaradoquesada/posts/861558197676189
0204-5,Medio,Tome Pal Pinto,Salud,Informativo,Link,"17,233",https://www.facebook.com/Tomepalpinto/posts/2897646053655272
0204-6,Medio,NCR Noticias ,Salud,Informativo,Texto/Imagen,"11,030",https://www.facebook.com/NCRNoticiasCostaRica/posts/3205428062822964
0204-7,Medio,Repretel,Medio Ambiente y Animales,Informativo,Link,"10,581",https://www.facebook.com/noticiasrepretelcostarica/posts/3351576728215388
0204-8,Medio,La Teja,Donaciones y Asistencialismo,Informativo,Link,"7,439",https://www.facebook.com/latejaoficial/posts/2898157133612020
0204-9,Medio,Crhoy.com,Medidas y Restricciones,Denuncia,Link,"7,233",https://www.facebook.com/crhoy.comnoticias/posts/3877053102337028
0204-10,Compañía Privada,Pastas Roma,Salud,Axiológico,Imagen,"6,459",https://www.facebook.com/PastasRoma/posts/10157700222660091
0304-1,Medio,Stereo Vision Internacional,Religión,Esperanzador,Imagen,"13,772",https://www.facebook.com/StereoVision/posts/10158219415013770
0304-2,Medio,Crhoy.com,Salud,Informativo,Link,"11,787",https://www.facebook.com/crhoy.comnoticias/posts/3879784295397242
0304-3,Homeopata,Betesda Natural,Salud,Esperanzador,Video,"11,767",https://www.facebook.com/BetesdaNatural/posts/2859469047472998
0304-4,Medio,Teletica,Medidas y Restricciones,Informativo,Video,"11,427",https://www.facebook.com/teleticacom/posts/162005038321687
0304-5,Gobierno,Carlos Alvarado Quesada,Medidas y Restricciones,Alerta,Texto,"11,149",https://www.facebook.com/carlosalvaradoquesada/posts/862450410920301
0304-6,Medio,Telenoticias,Política,Informativo,Link,"10,344",https://www.facebook.com/Telenoticias7/posts/3385674874777023
0304-7,Medio,La Nación,Pueblos Indígenas,Informativo,Link,"9,743",https://www.facebook.com/lanacioncr/posts/10163475707160051
0304-8,Figura Pública,Valentina Alazraki,Salud/Religión,Informativo,Video,"9,053",https://www.facebook.com/valentina.alazraki.mexico/posts/2674618422661242
0304-9,Medio,Crhoy.com,Donaciones y Asistencialismo,Axiológico,Link,"8,775",https://www.facebook.com/crhoy.comnoticias/posts/3880350645340607
0304-10,Ministerio, MEP,Donaciones y Asistencialismo,Informativo,Texto/Link,"8,749",https://www.facebook.com/MEPCostaRicaoficial/posts/2895997900469371
0404-1,Medio,Telenoticias,Donaciones y Asistencialismo,Informativo,Link,"18,592",https://www.facebook.com/Telenoticias7/posts/3387656717912172
0404-2,Institución,CCSS,Salud,Alerta,Texto/Video,"14,658",https://www.facebook.com/ccssdecostarica/posts/3163695810320787
0404-3,Medio,Telenoticias,Salud,Informativo,Link,"8,647",https://www.facebook.com/Telenoticias7/posts/3387506357927208
0404-4,Medio,La Nación,Vida Cotidiana,Informativo,Link,"7,666",https://www.facebook.com/lanacioncr/posts/10163482660075051
0404-5,Medio,Crhoy.com,Turismo,Informativo,Link,"7,360",https://www.facebook.com/crhoy.comnoticias/posts/3882960648412940
0404-6,Medio,Crhoy.com,Turismo,Denuncia,Link,"7,251",https://www.facebook.com/crhoy.comnoticias/posts/3883839594991712
0404-7,Embajada,Embajada China en CR,Donaciones y Asistencialismo,Informativo,Texto/Imagen,"6,352",https://www.facebook.com/EmbajadaChinaCostaRica/posts/154156429397766
0404-8,Organización Religiosa,Avivamiento Espiritual - Por Siempre,Religión,Esperanzador,Texto/Imagen,"6,326",https://www.facebook.com/AvivamientoEspiritualPorSiempre/posts/2490900544482944
0404-9,Figura Pública,Pelicomic,Entretenimiento,Humorístico,Meme,"5,736",https://www.facebook.com/PelicomicCR/posts/2685548161732292
0404-10,Medio,Amelia Rueda,Salud,Informativo,Link,"5,373",https://www.facebook.com/ameliarueda/posts/10158719358207923
0504-1,Página/Comunidad,Policías de Costa Rica,Medidas y Restricciones,Informativo,Texto/Imagen,"18,361",https://www.facebook.com/Policiasdecostarica/posts/2840413632713545
0504-2,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Texto/Imagen,"9,959",https://www.facebook.com/NCRNoticiasCostaRica/posts/3212399022125868
0504-3,Figura Pública,Valentina Alazraki,Salud/Religión,Informativo,Texto/Video,"8,790",https://www.facebook.com/valentina.alazraki.mexico/posts/2678717868917964
0504-4,Institución,Caja Costarricense de Seguro Social,Salud,Esperanzador,Imagen,"8,244",https://www.facebook.com/ccssdecostarica/posts/3165975913426110
0504-5,Ministerio,Ministerio de Salud,Salud,Informativo,Link,"6,692",https://www.facebook.com/msaludcr/posts/10163428694870137
0504-6,Medio,AM Prensa,Salud,Esperanzador,Link,"6,157",https://www.facebook.com/amprensa/posts/3310184755677960
0504-7,Medio,Crhoy.com,Turismo,Informativo,Link,"5,721",https://www.facebook.com/crhoy.comnoticias/posts/3886626714713000
0504-8,Medio,Teletica.com,Salud,Informativo,Video,"5,253",https://www.facebook.com/teleticacom/posts/153428322665595
0504-9,Ministerio,Ministerio de Salud,Salud,Informativo,Imagen,"4,692",https://www.facebook.com/msaludcr/posts/10163428321850137
0504-10,Medio,Semanario Universidad,Salud,Informativo,Imagen,"4,088",https://www.facebook.com/semanariou/posts/3564117786991460
0604-1,Homeopata,Betesda Natural,Salud,Informativo ,Video,"380,272",https://www.facebook.com/BetesdaNatural/posts/2866190846800818
0604-2,Gobierno,Carlos Alvarado Quesada,Salud,Esperanzador,Texto/Video,"15,179",https://www.facebook.com/carlosalvaradoquesada/posts/864746484024027
0604-3,Ministerio,Ministerio de Salud,Donaciones y Asistencialismo,Esperanzador,Texto/Imagen,"14,463",https://www.facebook.com/msaludcr/posts/10163433291320137
0604-4,Medio,Tome pal pinto,Reconocimiento Internacional,Informativo ,Link,"14,309",https://www.facebook.com/Tomepalpinto/posts/2906496626103548
0604-5,Medio,Telenoticias,Salud,Informativo ,Link,"12,768",https://www.facebook.com/Telenoticias7/posts/3392536014090909
0604-6,Medio,Tome pal pinto,Salud,Informativo ,Link,"12,281",https://www.facebook.com/Tomepalpinto/posts/2906569369429607
0604-7,Medio,Crhoy.com,Salud,Informativo ,Link,"11,046",https://www.facebook.com/crhoy.comnoticias/posts/3891186640923674
0604-8,Medio,La Teja,Salud,Informativo ,Link,"9,493",https://www.facebook.com/latejaoficial/posts/2905884589505941
0604-9,Político,Rogelio Rivas,Medidas y Restricciones,Informativo ,Texto,"7,617",https://www.facebook.com/rogeliorivasss/posts/2672092669691295
0604-10,Medio,Noticias Repretel Costa Rica,Salud,Informativo ,Link,"7,552",https://www.facebook.com/noticiasrepretelcostarica/posts/3361700113869716
0704-1,Medio,Tome pal pinto,Misceláneo,Esperanzador,Texto/Imagen,"24,655",https://www.facebook.com/Tomepalpinto/posts/2908402472579630
0704-2,Página/Comunidad,Yo soy tico como gallo pinto digo pura vida tuanis y que chiva!!!,Misceláneo,Esperanzador,Texto/Imagen,"19,200",https://www.facebook.com/elticopuravida/posts/10157659411542424
0704-3,Medio,Crhoy.com,Vida Cotidiana,Informativo,Link,"14,999",https://www.facebook.com/crhoy.comnoticias/posts/3893959920646346
0704-4,Medio,Tome pal pinto,Salud,Informativo ,Link,"12,961",https://www.facebook.com/Tomepalpinto/posts/2908856125867598
0704-5,Medio,Crhoy.com,Salud,Informativo,Link,"12,219",https://www.facebook.com/crhoy.comnoticias/posts/3893341480708190
0704-6,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Link,"8,840",https://www.facebook.com/NCRNoticiasCostaRica/posts/3217043654994738
0704-7,Medio,Televisión y Radio RN,Economía,Denuncia,Texto/Imagen,"7,222",https://www.facebook.com/televisionyradiorn/posts/2319110391729747
0704-8,Medio,Stereo Vision Internacional,Religión,Esperanzador,Video,"7,197",https://www.facebook.com/StereoVision/posts/10158233784028770
0704-9,Gobierno,Carlos Alvarado Quesada,Donaciones y Asistencialismo,Agradecimiento,Texto,"6,996",https://www.facebook.com/carlosalvaradoquesada/posts/865410973957578
0704-10,Medio,Crhoy.com,Medio Ambiente y Animales,Informativo,Link,"6,215",https://www.facebook.com/crhoy.comnoticias/posts/3894753097233695
0804-1,Ministerio,Ministerio de Salud,Salud,Informativo,Texto,"28,368",https://www.facebook.com/msaludcr/posts/10163447084155137
0804-2,Medio,Telenoticias,Donaciones y Asistencialismo,Informativo,Link,"26,455",https://www.facebook.com/Telenoticias7/posts/3396778023666708
0804-3,Gobierno,Carlos Alvarado Quesada,Salud,Esperanzador,Texto,"21,676",https://www.facebook.com/carlosalvaradoquesada/posts/866061810559161
0804-4,Gobierno,Carlos Alvarado Quesada,Salud,Informativo,Texto,"14,432",https://www.facebook.com/carlosalvaradoquesada/posts/866175277214481
0804-5,Medio,Crhoy.com,Salud,Emotivo,Link,"14,329",https://www.facebook.com/crhoy.comnoticias/posts/3897037877005217
0804-6,Medio,Telenoticias,Salud,Informativo,Texto/Imagen,"11,936",https://www.facebook.com/Telenoticias7/posts/3397988890212288
0804-7,Medio,Tome pal pinto,Donaciones y Asistencialismo,Esperanzador,Link,"10,650",https://www.facebook.com/Tomepalpinto/posts/2911796212240256
0804-8,Medio,NCR - Noticias Costa Rica,Salud,Emotivo,Link,"10,116",https://www.facebook.com/NCRNoticiasCostaRica/posts/3219149438117493
0804-9,Medio,Teletica,Misceláneo,Agradecimiento,Video,"10,014",https://www.facebook.com/Teletica/posts/2942723015750515
0804-10,Medio,Crhoy.com,Salud,Informativo,Link,"9,718",https://www.facebook.com/crhoy.comnoticias/posts/3897686530273685
0904-1,Medio,Telenoticias,Salud,Alerta,Link,"14,804",https://www.facebook.com/Telenoticias7/posts/3399803233364187
0904-2,Gobierno,Carlos Alvarado Quesada,Economía,Informativo,Texto/Imagen,"14,688",https://www.facebook.com/carlosalvaradoquesada/posts/866845143814161
0904-3,Gobierno,Casa Presidencial Costa Rica,Economía,Informativo,Texto/Imagen,"8,944",https://www.facebook.com/CasaPresidencial/posts/3667545476605252
0904-4,Ministerio,Ministerio de Trabajo y Seguridad Social,Economía,Informativo,Video,"7,772",https://www.facebook.com/TrabajoCR/posts/1258103774384306
0904-5,Figura Pública,Valentina Alazraki,Salud,Informativo,Texto,"7,736",https://www.facebook.com/valentina.alazraki.mexico/posts/2686492388140512
